	results_ses	results_acorn	results_vandalism	results_probneighbours	results_numberchildschool	results_meals	results_harm	results_siblings	results_socialsupport	results_activities	results_biodad	results_domesticviolence	results_maternalwarmth	results_maternaldepression	results_openness	results_conscientiousness	results_extroversion	results_agreeableness	results_neuroticism	results_antisocial	results_iq	results_execfunction	results_theoryofmind	results_externalising	results_internalising	results_adhd	results_prosocial
	b/min95/max95/p	b/min95/max95/p	b/min95/max95/p	b/min95/max95/p	b/min95/max95/p	b/min95/max95/p	b/min95/max95/p	b/min95/max95/p	b/min95/max95/p	b/min95/max95/p	b/min95/max95/p	b/min95/max95/p	b/min95/max95/p	b/min95/max95/p	b/min95/max95/p	b/min95/max95/p	b/min95/max95/p	b/min95/max95/p	b/min95/max95/p	b/min95/max95/p	b/min95/max95/p	b/min95/max95/p	b/min95/max95/p	b/min95/max95/p	b/min95/max95/p	b/min95/max95/p	b/min95/max95/p
Low_stable																											
ses	1.00																										
	1.00																										
	1.00																										
	.																										
acorn		1.00																									
		1.00																									
		1.00																									
		.																									
vandalism			1.00																								
			1.00																								
			1.00																								
			.																								
probneighbours				1.00																							
				1.00																							
				1.00																							
				.																							
numberchildschool					1.00																						
					1.00																						
					1.00																						
					.																						
meals						1.00																					
						1.00																					
						1.00																					
						.																					
harm							1.00																				
							1.00																				
							1.00																				
							.																				
siblings								1.00																			
								1.00																			
								1.00																			
								.																			
socialsupport									1.00																		
									1.00																		
									1.00																		
									.																		
activities										1.00																	
										1.00																	
										1.00																	
										.																	
biodad											1.00																
											1.00																
											1.00																
											.																
domesticviolence												1.00															
												1.00															
												1.00															
												.															
maternalwarmth													1.00														
													1.00														
													1.00														
													.														
maternaldepression														1.00													
														1.00													
														1.00													
														.													
openness															1.00												
															1.00												
															1.00												
															.												
conscientiousness																1.00											
																1.00											
																1.00											
																.											
extroversion																	1.00										
																	1.00										
																	1.00										
																	.										
agreeableness																		1.00									
																		1.00									
																		1.00									
																		.									
neuroticism																			1.00								
																			1.00								
																			1.00								
																			.								
antisocial																				1.00							
																				1.00							
																				1.00							
																				.							
iq																					1.00						
																					1.00						
																					1.00						
																					.						
execfunction																						1.00					
																						1.00					
																						1.00					
																						.					
theoryofmind																							1.00				
																							1.00				
																							1.00				
																							.				
externalising																								1.00			
																								1.00			
																								1.00			
																								.			
internalising																									1.00		
																									1.00		
																									1.00		
																									.		
adhd																										1.00	
